,Dates,Melbourne Temp,Sydney Temp,Brisbane Temp,Canberra Temp,Perth Temp,Adelaide Temp,Hobart Temp,Darwin Temp
0,2024-03-09,34.110000000000014,26.80000000000001,23.78000000000003,28.170000000000016,26.69,33.52000000000004,27.25,30.450000000000045
1,2024-03-10,32.07000000000005,26.57000000000005,24.860000000000014,28.07000000000005,23.02000000000004,34.129999999999995,20.850000000000023,29.430000000000007
2,2024-03-11,32.629999999999995,27.04000000000002,23.420000000000016,27.879999999999995,26.03000000000003,33.700000000000045,24.24000000000001,29.450000000000045
3,2024-03-12,26.370000000000005,30.350000000000023,24.80000000000001,29.879999999999995,26.590000000000032,31.470000000000027,16.680000000000007,30.04000000000002
4,2024-03-13,21.99000000000001,26.55000000000001,26.04000000000002,23.96000000000004,26.610000000000014,31.660000000000025,14.100000000000025,29.21000000000004
5,2024-03-14,20.850000000000023,27.06,27.150000000000038,23.110000000000014,27.629999999999995,24.100000000000023,15.03000000000003,28.31
6,2024-03-15,19.390000000000043,20.25,25.94,15.090000000000032,30.06,26.640000000000043,17.860000000000014,30.24000000000001
7,2024-03-16,20.56,27.24000000000001,26.180000000000007,21.510000000000048,29.850000000000023,25.010000000000048,18.610000000000014,29.629999999999995
8,2024-03-17,21.32000000000005,26.08000000000004,29.170000000000016,19.52000000000004,31.74000000000001,26.200000000000045,18.02000000000004,30.450000000000045
9,2024-03-18,22.379999999999995,23.27000000000004,28.24000000000001,21.83000000000004,25.02000000000004,25.660000000000025,19.49000000000001,30.100000000000023
10,2024-03-19,20.44,27.920000000000016,25.620000000000005,23.170000000000016,22.79000000000002,23.79000000000002,17.410000000000025,30.220000000000027
11,2024-03-20,18.920000000000016,29.470000000000027,27.07000000000005,22.510000000000048,23.53000000000003,18.75,17.32000000000005,30.07000000000005
12,2024-03-21,13.720000000000027,21.730000000000015,27.69,13.910000000000023,24.52000000000004,15.740000000000007,14.710000000000036,29.980000000000015
13,2024-03-22,15.620000000000005,21.670000000000016,25.170000000000016,16.33000000000004,27.350000000000023,17.870000000000005,14.960000000000036,30.650000000000038
14,2024-03-23,13.460000000000036,23.260000000000048,26.890000000000043,14.910000000000023,25.980000000000015,16.29000000000002,15.260000000000048,30.129999999999995
15,2024-03-24,14.740000000000007,19.670000000000016,27.680000000000007,10.82000000000005,28.5,16.660000000000025,11.760000000000048,30.680000000000007
16,2024-03-25,16.5,17.350000000000023,23.140000000000043,12.470000000000027,30.96000000000004,18.670000000000016,13.350000000000025,30.450000000000045
17,2024-03-26,19.360000000000014,18.30000000000001,22.950000000000045,13.77000000000004,31.980000000000015,21.700000000000045,16.970000000000027,30.670000000000016
18,2024-03-27,21.600000000000023,19.31,21.629999999999995,18.52000000000004,28.21000000000004,24.629999999999995,19.74000000000001,30.79000000000002
19,2024-03-28,24.220000000000027,20.379999999999995,21.200000000000045,20.390000000000043,28.150000000000038,25.52000000000004,21.090000000000032,31.200000000000045
20,2024-03-29,25.140000000000043,22.79000000000002,20.650000000000038,22.400000000000038,24.25,26.610000000000014,22.670000000000016,30.510000000000048
21,2024-03-30,24.840000000000032,24.340000000000032,20.230000000000015,23.930000000000007,21.58000000000004,26.69,21.640000000000043,31.480000000000015
22,2024-03-31,25.05000000000001,23.410000000000025,20.82000000000005,22.420000000000016,20.360000000000014,28.170000000000016,22.100000000000023,31.33000000000004
23,2024-04-01,25.79000000000002,23.980000000000015,21.0,22.120000000000005,21.02000000000004,23.620000000000005,23.05000000000001,31.970000000000027
24,2024-04-02,14.720000000000027,25.650000000000038,25.590000000000032,17.340000000000032,22.77000000000004,17.5,14.0,31.700000000000045
25,2024-04-03,15.740000000000007,21.350000000000023,24.360000000000014,17.74000000000001,21.94,17.970000000000027,13.200000000000044,32.27000000000004
26,2024-04-04,18.420000000000016,23.680000000000007,22.5,19.25,19.79000000000002,20.57000000000005,14.660000000000023,32.110000000000014
27,2024-04-05,15.390000000000043,25.260000000000048,23.46000000000004,18.19,25.450000000000045,18.610000000000014,13.950000000000044,32.06
28,2024-04-06,15.82000000000005,17.939999999999998,24.46000000000004,12.210000000000036,28.129999999999995,19.77000000000004,12.710000000000036,31.58000000000004
29,2024-04-07,18.370000000000005,19.950000000000045,22.46000000000004,17.78000000000003,23.980000000000015,21.660000000000025,13.400000000000034,31.879999999999995
